departamento,cultivo,anio,semestre,periodo,periodo_num,produccion,area_sembrada,imputado
tolima,arroz,2007,A,2007A,0,416285.0,52457.0,False
tolima,arroz,2007,B,2007B,1,432416.0,56122.0,False
tolima,arroz,2008,A,2008A,2,406326.0,53264.0,False
tolima,arroz,2008,B,2008B,3,412595.0,54254.0,False
tolima,arroz,2009,A,2009A,4,423969.0,62255.0,False
tolima,arroz,2009,B,2009B,5,338484.0,55576.0,False
tolima,arroz,2010,A,2010A,6,315000.0,59177.0,False
tolima,arroz,2010,B,2010B,7,347765.0,57314.0,False
tolima,arroz,2011,A,2011A,8,334136.0,53039.0,False
tolima,arroz,2011,B,2011B,9,341027.0,52404.0,False
tolima,arroz,2012,A,2012A,10,362371.0,54286.0,False
tolima,arroz,2012,B,2012B,11,313931.0,52499.0,False
tolima,arroz,2013,A,2013A,12,345859.0,51050.0,False
tolima,arroz,2013,B,2013B,13,357175.0,53143.0,False
tolima,arroz,2014,A,2014A,14,322978.0,47167.0,False
tolima,arroz,2014,B,2014B,15,317977.0,47928.0,False
tolima,arroz,2015,A,2015A,16,371329.0,54628.0,False
tolima,arroz,2015,B,2015B,17,318733.0,49753.0,False
tolima,arroz,2016,A,2016A,18,379700.0,51822.0,False
tolima,arroz,2016,B,2016B,19,366957.0,52038.0,False
tolima,arroz,2017,A,2017A,20,381768.0,53100.0,False
tolima,arroz,2017,B,2017B,21,391268.0,54424.0,False
tolima,arroz,2018,A,2018A,22,397303.0,55251.0,False
tolima,arroz,2018,B,2018B,23,393787.695,,True
tolima,arroz,2019,A,2019A,24,367596.78,47426.1,False
tolima,arroz,2019,B,2019B,25,396307.39,50029.0,False
tolima,arroz,2020,A,2020A,26,408156.54,53028.0,False
tolima,arroz,2020,B,2020B,27,426377.15,55298.0,False
tolima,arroz,2021,A,2021A,28,369178.11,49225.490000000005,False
tolima,arroz,2021,B,2021B,29,334043.23,46255.11,False
tolima,arroz,2022,A,2022A,30,338851.39,49028.44,False
tolima,arroz,2022,B,2022B,31,358508.37,47704.2,False
tolima,arroz,2023,A,2023A,32,341589.55,49018.2,False
tolima,arroz,2023,B,2023B,33,331531.07,44581.880000000005,False
tolima,arroz,2024,A,2024A,34,295699.1,47889.54,False
tolima,arroz,2024,B,2024B,35,310627.44,44439.17,False
casanare,arroz,2007,A,2007A,0,244664.0,45729.0,False
casanare,arroz,2007,B,2007B,1,101337.0,17312.0,False
casanare,arroz,2008,A,2008A,2,329612.0,60507.0,False
casanare,arroz,2008,B,2008B,3,98391.0,16344.0,False
casanare,arroz,2009,A,2009A,4,393463.0,76926.0,False
casanare,arroz,2009,B,2009B,5,63554.0,11864.0,False
casanare,arroz,2010,A,2010A,6,352568.0,65389.0,False
casanare,arroz,2010,B,2010B,7,76377.0,15094.0,False
casanare,arroz,2011,A,2011A,8,354178.0,83236.0,False
