departamento,cultivo,anio,periodo,area_sembrada,area_cosechada,produccion,rendimiento,ciclo_cultivo
boyaca,acelga,2006,2006B,2.0,1.0,1.0,1.0,transitorio
cundinamarca,acelga,2006,2006B,82.0,80.0,1440.0,18.0,transitorio
cundinamarca,acelga,2006,2006B,2.0,2.0,26.0,17.33,transitorio
norte de santander,acelga,2006,2006B,3.0,3.0,48.0,16.0,transitorio
norte de santander,acelga,2006,2006B,1.0,1.0,5.0,10.0,transitorio
santander,acelga,2006,2006B,1.0,1.0,6.0,6.0,transitorio
cundinamarca,acelga,2007,2007A,72.0,70.0,1260.0,18.0,transitorio
cundinamarca,acelga,2007,2007A,2.0,2.0,34.0,17.0,transitorio
norte de santander,acelga,2007,2007A,1.0,1.0,5.0,10.0,transitorio
santander,acelga,2007,2007A,1.0,1.0,6.0,6.0,transitorio
boyaca,acelga,2007,2007B,1.0,1.0,1.0,1.0,transitorio
cauca,acelga,2007,2007B,2.0,2.0,10.0,5.0,transitorio
cundinamarca,acelga,2007,2007B,62.0,60.0,1080.0,18.0,transitorio
cundinamarca,acelga,2007,2007B,1.0,1.0,11.0,8.0,transitorio
norte de santander,acelga,2007,2007B,3.0,3.0,48.0,16.0,transitorio
norte de santander,acelga,2007,2007B,1.0,1.0,5.0,10.0,transitorio
cauca,acelga,2008,2008A,2.0,1.0,5.0,4.5,transitorio
cundinamarca,acelga,2008,2008A,62.0,60.0,1080.0,18.0,transitorio
cundinamarca,acelga,2008,2008A,2.0,1.0,10.0,8.33,transitorio
norte de santander,acelga,2008,2008A,3.0,3.0,48.0,16.0,transitorio
norte de santander,acelga,2008,2008A,1.0,1.0,5.0,10.0,transitorio
cauca,acelga,2008,2008B,2.0,1.0,5.0,4.8,transitorio
cundinamarca,acelga,2008,2008B,65.0,61.0,1098.0,18.0,transitorio
cundinamarca,acelga,2008,2008B,1.0,1.0,19.0,16.67,transitorio
norte de santander,acelga,2008,2008B,3.0,3.0,48.0,16.0,transitorio
norte de santander,acelga,2008,2008B,1.0,1.0,5.0,10.0,transitorio
cauca,acelga,2009,2009A,1.0,1.0,0.0,0.5,transitorio
cundinamarca,acelga,2009,2009A,6.0,6.0,106.0,18.63,transitorio
cundinamarca,acelga,2009,2009A,1.0,1.0,9.0,9.0,transitorio
cundinamarca,acelga,2009,2009A,0.0,0.0,0.0,0.32,transitorio
norte de santander,acelga,2009,2009A,2.0,2.0,32.0,16.0,transitorio
norte de santander,acelga,2009,2009A,1.0,1.0,5.0,10.0,transitorio
valle del cauca,acelga,2009,2009A,8.0,8.0,16.0,2.0,transitorio
cauca,acelga,2009,2009B,1.0,1.0,0.0,0.5,transitorio
cundinamarca,acelga,2009,2009B,6.0,6.0,205.0,36.0,transitorio
cundinamarca,acelga,2009,2009B,2.0,2.0,18.0,9.0,transitorio
cundinamarca,acelga,2009,2009B,0.0,0.0,0.0,0.32,transitorio
