departamento,cultivo,anio,periodo,area_sembrada,area_cosechada,produccion,rendimiento
amazonas,achicoria,2007,B,6.0,6.0,6.0,1.0
amazonas,achicoria,2008,A,9.0,9.0,9.0,1.0
amazonas,achicoria,2008,B,9.0,9.0,9.0,1.0
amazonas,ahuyama,2007,B,10.0,10.0,38.0,3.8
amazonas,ahuyama,2008,A,12.0,12.0,45.0,3.75
amazonas,ahuyama,2008,B,12.0,12.0,46.0,3.8333333333333335
amazonas,ahuyama,2019,A,4.5,3.7,22.7,6.135135135135135
amazonas,ahuyama,2019,B,3.0,2.6,9.1,3.4999999999999996
amazonas,ahuyama,2020,A,11.0,8.0,29.6,3.7
amazonas,ahuyama,2020,B,15.0,12.0,44.4,3.6999999999999997
amazonas,ahuyama,2021,A,12.0,10.0,40.0,4.0
amazonas,ahuyama,2021,B,15.0,12.0,72.0,6.0
amazonas,ahuyama,2022,A,12.0,12.0,48.0,4.0
amazonas,ahuyama,2022,B,15.0,15.0,90.0,6.0
amazonas,ahuyama,2023,A,12.0,12.0,48.0,4.0
amazonas,ahuyama,2023,B,15.0,15.0,67.5,4.5
amazonas,ahuyama,2024,A,12.0,12.0,30.0,2.5
amazonas,ahuyama,2024,B,15.0,15.0,37.5,2.5
amazonas,aji,2007,B,28.0,28.0,35.0,1.25
amazonas,aji,2008,A,35.0,35.0,44.0,1.2571428571428571
amazonas,aji,2008,B,35.0,35.0,44.0,1.2571428571428571
amazonas,aji,2009,B,15.0,14.0,5.0,0.35714285714285715
amazonas,aji,2010,A,20.0,20.0,8.0,0.4
amazonas,aji,2010,B,25.0,25.0,10.0,0.4
amazonas,aji,2011,A,24.0,22.0,9.0,0.4090909090909091
amazonas,aji,2011,B,23.0,21.0,9.0,0.42857142857142855
amazonas,aji,2012,B,19.0,13.0,5.0,0.38461538461538464
amazonas,aji,2013,A,11.0,8.0,4.0,0.5
amazonas,aji,2013,B,10.0,8.0,4.0,0.5
amazonas,aji,2014,A,22.0,18.0,9.0,0.5
amazonas,aji,2014,B,16.0,14.0,8.0,0.5714285714285714
amazonas,aji,2015,A,13.0,12.0,6.0,0.5
amazonas,aji,2016,A,13.0,13.0,6.3,0.4846153846153846
amazonas,aji,2016,B,1.0,1.0,1.0,1.0
amazonas,aji,2017,A,2.0,1.0,4.0,4.0
amazonas,aji,2017,B,2.0,1.0,4.0,4.0
amazonas,aji,2018,A,2.0,2.0,6.0,3.0
