departamento,cultivo,n_periodos,anio_inicio,anio_fin,duracion_anios,gaps,completitud_pct,produccion_total,produccion_promedio,area_sembrada_promedio,area_cosechada_promedio,rendimiento_promedio,cv_produccion,std_produccion,cv_area_sembrada,cv_rendimiento,tendencia_produccion_pendiente,tendencia_produccion_r2,tendencia_produccion_pvalue,tendencia_area_pendiente,tendencia_area_r2,mk_tau_produccion,mk_pvalue_produccion,mk_tau_area,mk_pvalue_area,n_periodos_A,n_periodos_B,n_ciclos_completos,produccion_promedio_A,produccion_promedio_B,ratio_AB,diferencia_AB,porcentaje_A_mayor_B,hhi_tiempo_produccion,hhi_espacial_cultivo
cundinamarca,papa,35,2007,2024,18,1,97.22222222222221,24847299.099999998,709922.8314285714,33907.14200000001,32088.58085714286,21.99533239934339,0.1797438824130037,127604.28593460379,0.10591940848028264,0.09165301401809534,14753.364962264433,0.3788013969904199,8.317845146035106e-05,380.36964266121026,0.31786166709776537,0.4016806722689075,0.0006884392022364744,0.3848739495798319,0.0011454445000980693,18,17,17,717546.3538888888,701850.8664705883,1.0223629950009592,15695.487418300589,58.82352941176471,0.02946813661306661,0.2770636521713945
boyaca,papa,35,2007,2024,18,1,97.22222222222221,15296378.700000001,437039.3914285715,24816.72942857143,23315.090285714286,18.66627636102037,0.1695609585400864,74104.8181304046,0.10801095956887746,0.09393505949656547,9681.764092641197,0.4836999299107934,3.5284514512310388e-06,148.5213356463978,0.0869987225065598,0.4789915966386554,5.178789682317931e-05,0.13277310924369748,0.2618993766068384,18,17,17,463685.9966666667,408825.3388235294,1.1341909432546646,54860.657843137276,82.35294117647058,0.029369413252632745,0.2770636521713945
casanare,arroz,35,2007,2024,18,1,97.22222222222221,13129716.02,375134.74342857144,75772.73257142857,70298.84685714287,5.450235657148652,0.8838393993205385,331558.8662961729,0.7985761447602255,0.08975008867641064,27423.94954420771,0.19386465371159323,0.008120844191702212,5919.10330753377,0.27115224147324835,0.3310924369747899,0.005147074191523642,0.3915966386554622,0.0009365202233089231,18,17,17,483846.1994444443,260028.49588235293,1.8607429843510508,223817.7035620914,82.35294117647058,0.050252939468492956,0.1516991903190055
tolima,arroz,35,2007,2024,18,1,97.22222222222221,12673818.12,362109.0891428571,51910.68942857142,51415.45285714285,7.051455722115086,0.10434561790509624,37784.496655663,0.07695015817542344,0.08252481268518827,-2068.7774445086975,0.08494937461882314,0.08935885288042589,-512.1527187402698,0.4658287200627237,-0.15294117647058825,0.19624277735153173,-0.4756302521008403,5.8444363787764376e-05,18,17,17,365449.7483333333,358571.9205882353,1.0191811665950166,6877.82774509798,41.17647058823529,0.028873626343823573,0.1516991903190055
narino,papa,35,2007,2024,18,1,97.22222222222221,11940720.47,341163.44200000004,18275.262857142858,17403.374285714282,19.449127057344903,0.2504608700568685,85448.092514916,0.18348715017231032,0.10032628089255308,12852.033439497061,0.6410602852741927,7.710713756567143e-09,493.45695031359816,0.6136487990145734,0.6067226890756303,2.9483823487628704e-07,0.5764705882352941,1.1098359739764944e-06,18,17,17,353548.4966666667,328049.8547058824,1.0777279477341806,25498.641960784327,82.35294117647058,0.030312524091924795,0.2770636521713945
meta,arroz,35,2007,2024,18,1,97.22222222222221,7376378.26,210753.66457142856,41396.00057142857,40793.97485714286,5.213170692973135,0.6678750225458933,140757.10847727247,0.651844545849357,0.10737526219402355,1380.2970208917163,0.0027249864756045046,0.7658444030210442,-96.42224011387404,0.0003618341194146638,0.12605042016806722,0.28682732924443755,0.08907563025210083,0.4516446963045264,18,17,17,284375.97,132800.63529411764,2.1413750722666633,151575.33470588233,82.35294117647058,0.040951787391986155,0.1516991903190055
meta,maiz,35,2007,2024,18,1,97.22222222222221,4734782.4399999995,135279.49828571427,28127.50342857143,27079.98542857143,4.7592816763006605,0.6928026281326098,93721.99194480374,0.6569472932403313,0.20640925464035462,10777.886341354926,0.3747521225168229,9.302721770476124e-05,2105.384269086489,0.3678741256089149,0.5058823529411764,1.914540705938678e-05,0.5058823529411764,1.914540705938678e-05,18,17,17,139906.78777777782,130380.01529411766,1.0730692695668826,9526.772483660156,58.82352941176471,0.04189319703886805,0.09355481422716007
huila,arroz,35,2007,2024,18,1,97.22222222222221,4102634.95,117218.14142857143,16621.826285714287,16066.226285714287,7.291171712365172,0.15949288754214766,18695.459848766703,0.10324112013021852,0.07219376848257199,1150.8677045801642,0.1073837153126702,0.054643720666123656,111.66055276307404,0.11997660710776303,0.22352941176470587,0.05891991124777331,0.195122020229612,0.09944869020853353,18,17,17,117269.08111111111,117164.20529411765,1.0008951182379482,104.87581699345901,41.17647058823529,0.029277462334695584,0.1516991903190055
cordoba,maiz,35,2007,2024,18,1,97.22222222222221,3738901.9299999997,106825.76942857142,34565.06428571429,32275.71971428571,3.177210294777986,0.5296659822174221,56581.976090516146,0.42784221659494764,0.16344106956008758,231.56879053422887,0.00047463936719585066,0.9011389601986433,-300.72484468365894,0.011718081998105288,0.06890756302521009,0.5603924302324661,-0.07563025210084033,0.5227810104666992,18,17,17,143106.61,68410.76176470588,2.0918727742311267,74695.8482352941,82.35294117647058,0.03635801289177452,0.09355481422716007
antioquia,papa,35,2007,2024,18,1,97.22222222222221,3114526.7800000003,88986.47942857143,5121.855047619048,4874.285809523809,18.38869165557777,0.15207306658394512,13532.446811212007,0.15858820752920813,0.10953281377237842,58.6894242545556,0.0005329996991409236,0.8952688050509885,-92.05027188391188,0.36392653851675016,-0.058823529411764705,0.6191537066890378,-0.4621848739495798,9.407205998348539e-05,18,17,17,89056.84444444443,88911.97529411764,1.0016293547618031,144.869150326791,64.70588235294117,0.02921329910018639,0.2770636521713945
norte de santander,arroz,35,2007,2024,18,1,97.22222222222221,3098918.1200000006,88540.51771428573,15606.891428571427,15301.315999999999,5.77965347591252,0.21515981993846897,19050.36184866454,0.18029862281215825,0.132916189334017,1973.1770889491872,0.30400840657599787,0.0005969612294159116,311.4549041412749,0.34716236105974474,0.39831932773109247,0.0007633879309194244,0.4319327731092437,0.0002624772272640319,18,17,17,90819.265,86127.72647058824,1.0544718724348758,4691.538529411759,47.05882352941176,0.029856316274238726,0.1516991903190055
