departamento,cultivo,n_periodos,anio_inicio,anio_fin,duracion_anios,gaps,completitud_pct,produccion_total,produccion_promedio,area_sembrada_promedio,area_cosechada_promedio,rendimiento_promedio,cv_produccion,std_produccion,cv_area_sembrada,cv_rendimiento,tendencia_produccion_pendiente,tendencia_produccion_r2,tendencia_produccion_pvalue,tendencia_area_pendiente,tendencia_area_r2,mk_tau_produccion,mk_pvalue_produccion,mk_tau_area,mk_pvalue_area,n_periodos_A,n_periodos_B,n_ciclos_completos,produccion_promedio_A,produccion_promedio_B,ratio_AB,diferencia_AB,porcentaje_A_mayor_B,hhi_tiempo_produccion,hhi_espacial_cultivo,escala_cuartiles_prod,es_gran_escala_cuartil,cluster_escala,escala_productiva
cundinamarca,papa,35,2007,2024,18,1,97.2222222222222,24847299.1,709922.8314285714,33907.14200000001,32088.58085714286,21.99533239934339,0.1797438824130037,127604.2859346038,0.1059194084802826,0.0916530140180953,14753.364962264432,0.3788013969904199,8.317845146035106e-05,380.3696426612103,0.3178616670977653,0.4016806722689075,0.0006884392022364,0.3848739495798319,0.001145444500098,18,17,17,717546.3538888888,701850.8664705883,1.0223629950009592,15695.487418300589,58.82352941176471,0.0294681366130666,0.2770636521713945,Q4_gran_escala,1,2,Grande
boyaca,papa,35,2007,2024,18,1,97.2222222222222,15296378.7,437039.3914285715,24816.72942857143,23315.090285714286,18.66627636102037,0.1695609585400864,74104.8181304046,0.1080109595688774,0.0939350594965654,9681.764092641197,0.4836999299107934,3.5284514512310388e-06,148.5213356463978,0.0869987225065598,0.4789915966386554,5.178789682317931e-05,0.1327731092436974,0.2618993766068384,18,17,17,463685.9966666667,408825.3388235294,1.1341909432546646,54860.65784313728,82.35294117647058,0.0293694132526327,0.2770636521713945,Q4_gran_escala,1,2,Grande
casanare,arroz,35,2007,2024,18,1,97.2222222222222,13129716.02,375134.7434285714,75772.73257142857,70298.84685714287,5.450235657148652,0.8838393993205385,331558.8662961729,0.7985761447602255,0.0897500886764106,27423.94954420771,0.1938646537115932,0.0081208441917022,5919.10330753377,0.2711522414732483,0.3310924369747899,0.0051470741915236,0.3915966386554622,0.0009365202233089,18,17,17,483846.1994444443,260028.49588235293,1.8607429843510508,223817.7035620914,82.35294117647058,0.0502529394684929,0.1516991903190055,Q4_gran_escala,1,2,Grande
tolima,arroz,35,2007,2024,18,1,97.2222222222222,12673818.12,362109.0891428571,51910.68942857142,51415.45285714285,7.051455722115086,0.1043456179050962,37784.496655663,0.0769501581754234,0.0825248126851882,-2068.777444508697,0.0849493746188231,0.0893588528804258,-512.1527187402698,0.4658287200627237,-0.1529411764705882,0.1962427773515317,-0.4756302521008403,5.8444363787764376e-05,18,17,17,365449.7483333333,358571.9205882353,1.0191811665950166,6877.82774509798,41.17647058823529,0.0288736263438235,0.1516991903190055,Q4_gran_escala,1,2,Grande
narino,papa,35,2007,2024,18,1,97.2222222222222,11940720.47,341163.44200000004,18275.262857142858,17403.374285714282,19.449127057344903,0.2504608700568685,85448.092514916,0.1834871501723103,0.100326280892553,12852.03343949706,0.6410602852741927,7.710713756567143e-09,493.45695031359816,0.6136487990145734,0.6067226890756303,2.9483823487628704e-07,0.5764705882352941,1.1098359739764944e-06,18,17,17,353548.4966666667,328049.8547058824,1.0777279477341806,25498.641960784327,82.35294117647058,0.0303125240919247,0.2770636521713945,Q4_gran_escala,1,2,Grande
meta,arroz,35,2007,2024,18,1,97.2222222222222,7376378.26,210753.66457142856,41396.00057142857,40793.97485714286,5.213170692973135,0.6678750225458933,140757.10847727247,0.651844545849357,0.1073752621940235,1380.2970208917163,0.0027249864756045,0.7658444030210442,-96.42224011387404,0.0003618341194146,0.1260504201680672,0.2868273292444375,0.0890756302521008,0.4516446963045264,18,17,17,284375.97,132800.63529411764,2.141375072266664,151575.33470588233,82.35294117647058,0.0409517873919861,0.1516991903190055,Q4_gran_escala,1,1,Mediana
meta,maiz,35,2007,2024,18,1,97.2222222222222,4734782.44,135279.49828571427,28127.50342857143,27079.98542857143,4.7592816763006605,0.6928026281326098,93721.99194480374,0.6569472932403313,0.2064092546403546,10777.886341354926,0.3747521225168229,9.302721770476124e-05,2105.384269086489,0.3678741256089149,0.5058823529411764,1.914540705938678e-05,0.5058823529411764,1.914540705938678e-05,18,17,17,139906.78777777782,130380.01529411766,1.0730692695668826,9526.772483660156,58.82352941176471,0.041893197038868,0.09355481422716,Q4_gran_escala,1,1,Mediana
huila,arroz,35,2007,2024,18,1,97.2222222222222,4102634.95,117218.14142857144,16621.826285714287,16066.226285714289,7.291171712365172,0.1594928875421476,18695.459848766703,0.1032411201302185,0.0721937684825719,1150.8677045801642,0.1073837153126702,0.0546437206661236,111.66055276307404,0.119976607107763,0.2235294117647058,0.0589199112477733,0.195122020229612,0.0994486902085335,18,17,17,117269.08111111113,117164.20529411764,1.0008951182379482,104.875816993459,41.17647058823529,0.0292774623346955,0.1516991903190055,Q4_gran_escala,1,1,Mediana
cordoba,maiz,35,2007,2024,18,1,97.2222222222222,3738901.93,106825.76942857142,34565.06428571429,32275.71971428571,3.177210294777986,0.5296659822174221,56581.97609051615,0.4278422165949476,0.1634410695600875,231.56879053422887,0.0004746393671958,0.9011389601986431,-300.72484468365894,0.0117180819981052,0.06890756302521,0.5603924302324661,-0.0756302521008403,0.5227810104666992,18,17,17,143106.61,68410.76176470588,2.0918727742311267,74695.8482352941,82.35294117647058,0.0363580128917745,0.09355481422716,Q4_gran_escala,1,1,Mediana
antioquia,papa,35,2007,2024,18,1,97.2222222222222,3114526.7800000003,88986.47942857143,5121.855047619048,4874.285809523809,18.38869165557777,0.1520730665839451,13532.446811212008,0.1585882075292081,0.1095328137723784,58.6894242545556,0.0005329996991409,0.8952688050509885,-92.05027188391188,0.3639265385167501,-0.0588235294117647,0.6191537066890378,-0.4621848739495798,9.40720599834854e-05,18,17,17,89056.84444444443,88911.97529411764,1.0016293547618031,144.869150326791,64.70588235294117,0.0292132991001863,0.2770636521713945,Q4_gran_escala,1,1,Mediana
